Ancient Greek Verse Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
file name,Genre,freq_allos,freq_autos,freq_circumstantial_participial_clauses,freq_conditional_characters,freq_conjunction,freq_demonstrative,freq_indefinite_pronoun_in_any_sentence,freq_indefinite_pronoun_in_non_interrogative_sentence,freq_interrogatives,freq_men,freq_personal_pronouns,freq_purpose_clause,freq_reflexive,freq_superlative,freq_temporal_and_causal_clauses,freq_vocative_sentences,freq_ws,freq_wste_not_preceded_by_eta,mean_length_relative_clause,mean_sentence_length,non_interoggative_sentence_with_relative_clause,particles_per_sentence,relative_clause_per_sentence,variance_of_sentence_length
aeschylus.agamemnon.tess,drama,0.00260612,0.00212417,0.0006426,0.00240977,0.01981364,0.01188819,0.00237407,0.00210643,0.17156863,0.00464103,0.01133483,0.00096391,0.0003213,0.00224912,0.00307022,0.01633987,0.00283817,0.00074971,34.1818182,91.5392157,0.03944773,1.11111111,0.04142012,5690.66023
aeschylus.eumenides.tess,drama,0.00137586,0.00314483,0.00137586,0.00129163,0.0282754,0.01597686,0.00219015,0.00220012,0.14143921,0.00336946,0.01561184,0.00101084,0,0.00277981,0.00188128,0.02977667,0.00227439,0.00050542,34.6818182,88.3722084,0.06069364,1.09181141,0.06358382,4667.34533
aeschylus.libation_bearers.tess,drama,0.00268993,0.0048636,0.00070644,0.00135855,0.02312249,0.01632975,0.0023367,0.00241004,0.20681818,0.00412999,0.01233562,0.00114118,0.00021737,0.00198348,0.00277144,0.06363636,0.00260841,0.00032605,36.5714286,83.6454545,0.03170029,1.01363636,0.03170029,4639.92884
aeschylus.persians.tess,drama,0.00256605,0.00386318,0.00124073,0.00109974,0.02492739,0.00837493,0.00203029,0.00193858,0.13445378,0.00473733,0.00809294,0.00050757,0.00025379,0.00338381,0.00293263,0.05602241,0.00313002,0.00067676,40.52,99.3361345,0.06796117,1.24369748,0.0776699,7545.1027
aeschylus.prometheus_bound.tess,drama,0.00216347,0.00638978,0.00095595,0.00171065,0.02643959,0.01323237,0.00233956,0.0023408,0.19325843,0.00281754,0.01876682,0.00216347,0.00178612,0.00120752,0.00339614,0.02921348,0.0024905,0.00045282,35.5166667,89.3280899,0.14763231,1.07865169,0.16155989,5031.91033
aeschylus.seven_against_thebes.tess,drama,0.00254475,0.00415642,0.00093307,0.00110272,0.02276133,0.01049,0.00195097,0.00203014,0.13019391,0.0024882,0.00726666,0.00016965,0,0.00483502,0.00186615,0.05263158,0.00186615,0.0003393,35.8529412,97.9695291,0.09265176,1.21052632,0.10543131,6413.32594
aeschylus.suppliant_women.tess,drama,0.00213701,0.00121691,0.00035617,0.00228541,0.02255728,0.01205034,0.00216669,0.00221759,0.13095238,0.00320551,0.01163481,0.00142467,0,0.00252285,0.00204796,0.02380952,0.00267126,0.00017808,43.25,80.2190476,0.03856749,1.07857143,0.03856749,4099.06154
apollonius.argonautica.part.1.tess,epic,0.00384052,0.00669301,0.00084459,0.0013386,0.03008669,0.00084459,0.00095614,0.00093942,0.03807107,0.00675676,0.00202384,0.00017529,0,0.00245411,0.00356961,0.00253807,0.00114737,9.56E-05,41.975,159.269036,0.18733509,2.31806616,0.20844327,8593.50122
apollonius.argonautica.part.2.tess,epic,0.00248514,0.007489,0.00141048,0.00164557,0.03106424,0.00184706,0.00134332,0.00136813,0.03194103,0.00537327,0.0021661,0.00070524,0.00021829,0.00319038,0.00421466,0.00737101,0.00105786,0.000403,41.3285714,146.324324,0.14467005,2.12039312,0.1751269,7623.16754
